p,d,q,P,D,Q,season,value
0.0,1.0,0.0,0.0,1.0,0.0,5.0,28459.38634526634
0.0,1.0,0.0,0.0,1.0,1.0,5.0,24980.679215620814
0.0,1.0,0.0,0.0,1.0,2.0,5.0,24957.286651489845
0.0,1.0,0.0,0.0,1.0,3.0,5.0,24960.851430242146
0.0,1.0,0.0,1.0,1.0,0.0,5.0,26969.502492108953
0.0,1.0,0.0,1.0,1.0,1.0,5.0,24959.16186686966
0.0,1.0,0.0,1.0,1.0,2.0,5.0,24947.143646211847
0.0,1.0,0.0,1.0,1.0,3.0,5.0,24967.163991589718
0.0,1.0,0.0,2.0,1.0,0.0,5.0,26393.137287222973
0.0,1.0,0.0,2.0,1.0,1.0,5.0,24963.56893384241
0.0,1.0,0.0,2.0,1.0,2.0,5.0,24967.69640796195
0.0,1.0,0.0,2.0,1.0,3.0,5.0,24971.02416183412
0.0,1.0,0.0,3.0,1.0,0.0,5.0,26199.389138282848
0.0,1.0,0.0,3.0,1.0,1.0,5.0,24967.294444023995
0.0,1.0,0.0,3.0,1.0,2.0,5.0,24976.11587450832
0.0,1.0,0.0,3.0,1.0,3.0,5.0,24965.534665921263
0.0,1.0,1.0,0.0,1.0,0.0,5.0,28447.153430062404
0.0,1.0,1.0,0.0,1.0,1.0,5.0,24963.718237912628
0.0,1.0,1.0,0.0,1.0,2.0,5.0,24939.329482633402
0.0,1.0,1.0,0.0,1.0,3.0,5.0,24943.260988490434
0.0,1.0,1.0,1.0,1.0,0.0,5.0,26955.365524251203
0.0,1.0,1.0,1.0,1.0,1.0,5.0,24941.252984768453
0.0,1.0,1.0,1.0,1.0,2.0,5.0,24980.519132096837
0.0,1.0,1.0,1.0,1.0,3.0,5.0,24947.66534827863
0.0,1.0,1.0,2.0,1.0,0.0,5.0,26349.451155508155
0.0,1.0,1.0,2.0,1.0,1.0,5.0,24945.445208769306
0.0,1.0,1.0,2.0,1.0,2.0,5.0,24947.802958598066
0.0,1.0,1.0,2.0,1.0,3.0,5.0,24952.34939284298
0.0,1.0,1.0,3.0,1.0,0.0,5.0,26162.04957206738
0.0,1.0,1.0,3.0,1.0,1.0,5.0,24951.634526906888
0.0,1.0,1.0,3.0,1.0,2.0,5.0,24956.204702210336
0.0,1.0,1.0,3.0,1.0,3.0,5.0,24949.545312689494
0.0,1.0,2.0,0.0,1.0,0.0,5.0,28436.802520225232
0.0,1.0,2.0,0.0,1.0,1.0,5.0,24938.363226305224
0.0,1.0,2.0,0.0,1.0,2.0,5.0,24911.150246760168
0.0,1.0,2.0,0.0,1.0,3.0,5.0,24916.45263745491
0.0,1.0,2.0,1.0,1.0,0.0,5.0,26920.41191277345
0.0,1.0,2.0,1.0,1.0,1.0,5.0,24912.922362241043
0.0,1.0,2.0,1.0,1.0,2.0,5.0,24955.126855479346
0.0,1.0,2.0,1.0,1.0,3.0,5.0,24919.810882335565
0.0,1.0,2.0,2.0,1.0,0.0,5.0,26314.617363557623
0.0,1.0,2.0,2.0,1.0,1.0,5.0,24918.172620554567
0.0,1.0,2.0,2.0,1.0,2.0,5.0,24919.442043645373
0.0,1.0,2.0,2.0,1.0,3.0,5.0,24919.893306143145
0.0,1.0,2.0,3.0,1.0,0.0,5.0,26129.688414181303
0.0,1.0,2.0,3.0,1.0,1.0,5.0,24924.780764611176
0.0,1.0,2.0,3.0,1.0,2.0,5.0,24927.60846193461
0.0,1.0,2.0,3.0,1.0,3.0,5.0,24914.99768477391
0.0,1.0,3.0,0.0,1.0,0.0,5.0,27858.72457987958
0.0,1.0,3.0,0.0,1.0,1.0,5.0,24940.25727907586
0.0,1.0,3.0,0.0,1.0,2.0,5.0,24917.6323963743
0.0,1.0,3.0,0.0,1.0,3.0,5.0,24922.708573832933
0.0,1.0,3.0,1.0,1.0,0.0,5.0,26910.063918959495
0.0,1.0,3.0,1.0,1.0,1.0,5.0,24919.262139558636
0.0,1.0,3.0,1.0,1.0,2.0,5.0,24957.0942695174
0.0,1.0,3.0,1.0,1.0,3.0,5.0,24926.495765283926
0.0,1.0,3.0,2.0,1.0,0.0,5.0,26322.949477162187
0.0,1.0,3.0,2.0,1.0,1.0,5.0,24924.528336878662
0.0,1.0,3.0,2.0,1.0,2.0,5.0,24926.26515998815
0.0,1.0,3.0,2.0,1.0,3.0,5.0,24926.516764347823
0.0,1.0,3.0,3.0,1.0,0.0,5.0,26138.051524418377
0.0,1.0,3.0,3.0,1.0,1.0,5.0,24930.571573503235
0.0,1.0,3.0,3.0,1.0,2.0,5.0,24934.49453893043
0.0,1.0,3.0,3.0,1.0,3.0,5.0,24922.74219397243
1.0,1.0,0.0,0.0,1.0,0.0,5.0,28444.903810042924
1.0,1.0,0.0,0.0,1.0,1.0,5.0,24959.610566984615
1.0,1.0,0.0,0.0,1.0,2.0,5.0,24934.805957110682
1.0,1.0,0.0,0.0,1.0,3.0,5.0,24938.894388118257
1.0,1.0,0.0,1.0,1.0,0.0,5.0,26951.30600628229
1.0,1.0,0.0,1.0,1.0,1.0,5.0,24936.73338759064
1.0,1.0,0.0,1.0,1.0,2.0,5.0,24976.421121089064
1.0,1.0,0.0,1.0,1.0,3.0,5.0,24942.88754050108
1.0,1.0,0.0,2.0,1.0,0.0,5.0,26339.829897205458
1.0,1.0,0.0,2.0,1.0,1.0,5.0,24940.959924641844
1.0,1.0,0.0,2.0,1.0,2.0,5.0,24942.916121421727
1.0,1.0,0.0,2.0,1.0,3.0,5.0,24947.35935347069
1.0,1.0,0.0,3.0,1.0,0.0,5.0,26153.76104922498
1.0,1.0,0.0,3.0,1.0,1.0,5.0,24947.5025017513
1.0,1.0,0.0,3.0,1.0,2.0,5.0,24951.29046168692
1.0,1.0,0.0,3.0,1.0,3.0,5.0,24933.74298981361
1.0,1.0,1.0,0.0,1.0,0.0,5.0,28339.817908137265
1.0,1.0,1.0,0.0,1.0,1.0,5.0,24952.266538408527
1.0,1.0,1.0,0.0,1.0,2.0,5.0,24928.122553404868
1.0,1.0,1.0,0.0,1.0,3.0,5.0,24932.79423213628
1.0,1.0,1.0,1.0,1.0,0.0,5.0,26937.22919263477
1.0,1.0,1.0,1.0,1.0,1.0,5.0,24929.932480040778
1.0,1.0,1.0,1.0,1.0,2.0,5.0,24969.121570577194
1.0,1.0,1.0,1.0,1.0,3.0,5.0,24935.821636915392
1.0,1.0,1.0,2.0,1.0,0.0,5.0,26323.242944161604
1.0,1.0,1.0,2.0,1.0,1.0,5.0,24934.54970832702
1.0,1.0,1.0,2.0,1.0,2.0,5.0,24935.544022294285
1.0,1.0,1.0,2.0,1.0,3.0,5.0,24938.10649212251
1.0,1.0,1.0,3.0,1.0,0.0,5.0,26140.10728619668
1.0,1.0,1.0,3.0,1.0,1.0,5.0,24941.616991079598
1.0,1.0,1.0,3.0,1.0,2.0,5.0,24943.78242233451
1.0,1.0,1.0,3.0,1.0,3.0,5.0,24934.75370241248
1.0,1.0,2.0,0.0,1.0,0.0,5.0,28423.62814764157
1.0,1.0,2.0,0.0,1.0,1.0,5.0,24942.02433773844
1.0,1.0,2.0,0.0,1.0,2.0,5.0,24916.896579887198
1.0,1.0,2.0,0.0,1.0,3.0,5.0,24921.900553190553
1.0,1.0,2.0,1.0,1.0,0.0,5.0,26920.266346815653
1.0,1.0,2.0,1.0,1.0,1.0,5.0,24918.61673402527
1.0,1.0,2.0,1.0,1.0,2.0,5.0,24958.815654280996
1.0,1.0,2.0,1.0,1.0,3.0,5.0,24925.767000732594
1.0,1.0,2.0,2.0,1.0,0.0,5.0,26322.93878217622
1.0,1.0,2.0,2.0,1.0,1.0,5.0,24923.800907393765
1.0,1.0,2.0,2.0,1.0,2.0,5.0,24925.56895736065
1.0,1.0,2.0,2.0,1.0,3.0,5.0,24926.236999057746
1.0,1.0,2.0,3.0,1.0,0.0,5.0,26138.04291872046
1.0,1.0,2.0,3.0,1.0,1.0,5.0,24929.814244865003
1.0,1.0,2.0,3.0,1.0,2.0,5.0,24933.8203453281
1.0,1.0,2.0,3.0,1.0,3.0,5.0,24923.72960282451
1.0,1.0,3.0,0.0,1.0,0.0,5.0,27859.399018191252
1.0,1.0,3.0,0.0,1.0,1.0,5.0,24948.61084778025
1.0,1.0,3.0,0.0,1.0,2.0,5.0,24925.25593735481
1.0,1.0,3.0,0.0,1.0,3.0,5.0,24930.280854939527
1.0,1.0,3.0,1.0,1.0,0.0,5.0,26918.438871665472
1.0,1.0,3.0,1.0,1.0,1.0,5.0,24927.019694738985
1.0,1.0,3.0,1.0,1.0,2.0,5.0,24965.44874905184
1.0,1.0,3.0,1.0,1.0,3.0,5.0,24934.200643460765
1.0,1.0,3.0,2.0,1.0,0.0,5.0,26331.403409672068
1.0,1.0,3.0,2.0,1.0,1.0,5.0,24932.18724079083
1.0,1.0,3.0,2.0,1.0,2.0,5.0,24933.88176773471
1.0,1.0,3.0,2.0,1.0,3.0,5.0,24934.61871833811
1.0,1.0,3.0,3.0,1.0,0.0,5.0,26146.497342887247
1.0,1.0,3.0,3.0,1.0,1.0,5.0,24938.23831021997
1.0,1.0,3.0,3.0,1.0,2.0,5.0,24942.139108705764
1.0,1.0,3.0,3.0,1.0,3.0,5.0,24931.668229658604
2.0,1.0,0.0,0.0,1.0,0.0,5.0,28442.17618121839
2.0,1.0,0.0,0.0,1.0,1.0,5.0,24941.578651723496
2.0,1.0,0.0,0.0,1.0,2.0,5.0,24913.289839696852
2.0,1.0,0.0,0.0,1.0,3.0,5.0,24918.618502926332
2.0,1.0,0.0,1.0,1.0,0.0,5.0,26925.938941767105
2.0,1.0,0.0,1.0,1.0,1.0,5.0,24915.12519815735
2.0,1.0,0.0,1.0,1.0,2.0,5.0,24958.3292068851
2.0,1.0,0.0,1.0,1.0,3.0,5.0,24921.797963651894
2.0,1.0,0.0,2.0,1.0,0.0,5.0,26314.73129935385
2.0,1.0,0.0,2.0,1.0,1.0,5.0,24920.318774069994
2.0,1.0,0.0,2.0,1.0,2.0,5.0,24921.37583301597
2.0,1.0,0.0,2.0,1.0,3.0,5.0,24921.958471657716
2.0,1.0,0.0,3.0,1.0,0.0,5.0,26130.107068428235
2.0,1.0,0.0,3.0,1.0,1.0,5.0,24927.095834425425
2.0,1.0,0.0,3.0,1.0,2.0,5.0,24929.519668355184
2.0,1.0,0.0,3.0,1.0,3.0,5.0,24915.905064042523
2.0,1.0,1.0,0.0,1.0,0.0,5.0,27956.19809951994
2.0,1.0,1.0,0.0,1.0,1.0,5.0,24976.457837819475
2.0,1.0,1.0,0.0,1.0,2.0,5.0,24917.103674780676
2.0,1.0,1.0,0.0,1.0,3.0,5.0,24922.19670482012
2.0,1.0,1.0,1.0,1.0,0.0,5.0,26684.928695064445
2.0,1.0,1.0,1.0,1.0,1.0,5.0,24919.055882344528
2.0,1.0,1.0,1.0,1.0,2.0,5.0,24912.431216527875
2.0,1.0,1.0,1.0,1.0,3.0,5.0,24925.862677369034
2.0,1.0,1.0,2.0,1.0,0.0,5.0,26174.691198664168
2.0,1.0,1.0,2.0,1.0,1.0,5.0,24924.4813199396
2.0,1.0,1.0,2.0,1.0,2.0,5.0,24926.087822764574
2.0,1.0,1.0,2.0,1.0,3.0,5.0,24934.180796985307
2.0,1.0,1.0,3.0,1.0,0.0,5.0,26021.59620515853
2.0,1.0,1.0,3.0,1.0,1.0,5.0,24931.247419146326
2.0,1.0,1.0,3.0,1.0,2.0,5.0,24933.97197978789
2.0,1.0,1.0,3.0,1.0,3.0,5.0,24931.115425437703
2.0,1.0,2.0,0.0,1.0,0.0,5.0,27205.07243164285
2.0,1.0,2.0,0.0,1.0,1.0,5.0,24937.431489306055
2.0,1.0,2.0,0.0,1.0,2.0,5.0,24925.190356391984
2.0,1.0,2.0,0.0,1.0,3.0,5.0,24930.236339235147
2.0,1.0,2.0,1.0,1.0,0.0,5.0,26239.60008773168
2.0,1.0,2.0,1.0,1.0,1.0,5.0,24926.992866241024
2.0,1.0,2.0,1.0,1.0,2.0,5.0,24953.73100341423
2.0,1.0,2.0,1.0,1.0,3.0,5.0,24934.73281659874
2.0,1.0,2.0,2.0,1.0,0.0,5.0,26331.283979521777
2.0,1.0,2.0,2.0,1.0,1.0,5.0,24932.14535681733
2.0,1.0,2.0,2.0,1.0,2.0,5.0,24933.76944895312
2.0,1.0,2.0,2.0,1.0,3.0,5.0,24934.62828223024
2.0,1.0,2.0,3.0,1.0,0.0,5.0,26146.41513716888
2.0,1.0,2.0,3.0,1.0,1.0,5.0,24938.23497493427
2.0,1.0,2.0,3.0,1.0,2.0,5.0,24943.70450997086
2.0,1.0,2.0,3.0,1.0,3.0,5.0,24936.956185765
2.0,1.0,3.0,0.0,1.0,0.0,5.0,27179.00703754675
2.0,1.0,3.0,0.0,1.0,1.0,5.0,24945.566053767914
2.0,1.0,3.0,0.0,1.0,2.0,5.0,24933.532006865003
2.0,1.0,3.0,0.0,1.0,3.0,5.0,24938.58055122943
2.0,1.0,3.0,1.0,1.0,0.0,5.0,26246.975361202087
2.0,1.0,3.0,1.0,1.0,1.0,5.0,24935.305172494784
2.0,1.0,3.0,1.0,1.0,2.0,5.0,24961.7311096853
2.0,1.0,3.0,1.0,1.0,3.0,5.0,24942.384681894084
2.0,1.0,3.0,2.0,1.0,0.0,5.0,26338.48551819712
2.0,1.0,3.0,2.0,1.0,1.0,5.0,24940.451037143674
2.0,1.0,3.0,2.0,1.0,2.0,5.0,24942.065449932557
2.0,1.0,3.0,2.0,1.0,3.0,5.0,24942.877572928
2.0,1.0,3.0,3.0,1.0,0.0,5.0,26154.24316547999
2.0,1.0,3.0,3.0,1.0,1.0,5.0,24946.596501477812
2.0,1.0,3.0,3.0,1.0,2.0,5.0,24950.356543253383
2.0,1.0,3.0,3.0,1.0,3.0,5.0,24939.340247793807
3.0,1.0,0.0,0.0,1.0,0.0,5.0,28441.42071191771
3.0,1.0,0.0,0.0,1.0,1.0,5.0,24944.909225749252
3.0,1.0,0.0,0.0,1.0,2.0,5.0,24917.28389655276
3.0,1.0,0.0,0.0,1.0,3.0,5.0,24922.432131900045
3.0,1.0,0.0,1.0,1.0,0.0,5.0,26928.89357040658
3.0,1.0,0.0,1.0,1.0,1.0,5.0,24919.1115884738
3.0,1.0,0.0,1.0,1.0,2.0,5.0,24910.941024428677
3.0,1.0,0.0,1.0,1.0,3.0,5.0,24926.154882538387
3.0,1.0,0.0,2.0,1.0,0.0,5.0,26322.902219165186
3.0,1.0,0.0,2.0,1.0,1.0,5.0,24924.302844369082
3.0,1.0,0.0,2.0,1.0,2.0,5.0,24925.882064106172
3.0,1.0,0.0,2.0,1.0,3.0,5.0,24926.837999171254
3.0,1.0,0.0,3.0,1.0,0.0,5.0,26138.114398002646
3.0,1.0,0.0,3.0,1.0,1.0,5.0,24930.49132317346
3.0,1.0,0.0,3.0,1.0,2.0,5.0,24934.100963428205
3.0,1.0,0.0,3.0,1.0,3.0,5.0,24921.99964230505
3.0,1.0,1.0,0.0,1.0,0.0,5.0,28449.256006507447
3.0,1.0,1.0,0.0,1.0,1.0,5.0,24953.093000041114
3.0,1.0,1.0,0.0,1.0,2.0,5.0,24925.3158488894
3.0,1.0,1.0,0.0,1.0,3.0,5.0,24930.38371865668
3.0,1.0,1.0,1.0,1.0,0.0,5.0,26937.266302713037
3.0,1.0,1.0,1.0,1.0,1.0,5.0,24927.198756287456
3.0,1.0,1.0,1.0,1.0,2.0,5.0,24969.829138700974
3.0,1.0,1.0,1.0,1.0,3.0,5.0,24934.091135918472
3.0,1.0,1.0,2.0,1.0,0.0,5.0,26331.30366172148
3.0,1.0,1.0,2.0,1.0,1.0,5.0,24932.303903346525
3.0,1.0,1.0,2.0,1.0,2.0,5.0,24933.835050405778
3.0,1.0,1.0,2.0,1.0,3.0,5.0,24935.046282443844
3.0,1.0,1.0,3.0,1.0,0.0,5.0,26146.53215734286
3.0,1.0,1.0,3.0,1.0,1.0,5.0,24938.507856558543
3.0,1.0,1.0,3.0,1.0,2.0,5.0,24942.072576540617
3.0,1.0,1.0,3.0,1.0,3.0,5.0,24932.759439931444
3.0,1.0,2.0,0.0,1.0,0.0,5.0,27191.837930155405
3.0,1.0,2.0,0.0,1.0,1.0,5.0,24945.493998769052
3.0,1.0,2.0,0.0,1.0,2.0,5.0,24933.755033754565
3.0,1.0,2.0,0.0,1.0,3.0,5.0,24919.549342976792
3.0,1.0,2.0,1.0,1.0,0.0,5.0,26247.970391954303
3.0,1.0,2.0,1.0,1.0,1.0,5.0,24935.68974424735
3.0,1.0,2.0,1.0,1.0,2.0,5.0,24961.72128242462
3.0,1.0,2.0,1.0,1.0,3.0,5.0,24942.561140121354
3.0,1.0,2.0,2.0,1.0,0.0,5.0,25984.87714346573
3.0,1.0,2.0,2.0,1.0,1.0,5.0,24940.772172970017
3.0,1.0,2.0,2.0,1.0,2.0,5.0,24942.30403157534
3.0,1.0,2.0,2.0,1.0,3.0,5.0,24942.910998224386
3.0,1.0,2.0,3.0,1.0,0.0,5.0,25908.76951690708
3.0,1.0,2.0,3.0,1.0,1.0,5.0,24947.00727280492
3.0,1.0,2.0,3.0,1.0,2.0,5.0,24950.535135728034
3.0,1.0,2.0,3.0,1.0,3.0,5.0,24939.096596946085
3.0,1.0,3.0,0.0,1.0,0.0,5.0,27180.01825940503
3.0,1.0,3.0,0.0,1.0,1.0,5.0,24948.968219153823
3.0,1.0,3.0,0.0,1.0,2.0,5.0,24918.09314848656
3.0,1.0,3.0,0.0,1.0,3.0,5.0,24941.547011355233
3.0,1.0,3.0,1.0,1.0,0.0,5.0,26256.07915907081
3.0,1.0,3.0,1.0,1.0,1.0,5.0,24928.17521708267
3.0,1.0,3.0,1.0,1.0,2.0,5.0,24965.225292443753
3.0,1.0,3.0,1.0,1.0,3.0,5.0,24934.64369255709
3.0,1.0,3.0,2.0,1.0,0.0,5.0,25892.828051070264
3.0,1.0,3.0,2.0,1.0,1.0,5.0,24948.54726935647
3.0,1.0,3.0,2.0,1.0,2.0,5.0,24941.336404871287
3.0,1.0,3.0,2.0,1.0,3.0,5.0,24949.86485831091
3.0,1.0,3.0,3.0,1.0,0.0,5.0,25792.33060323645
3.0,1.0,3.0,3.0,1.0,1.0,5.0,24953.151612595462
3.0,1.0,3.0,3.0,1.0,2.0,5.0,24960.081356219333
3.0,1.0,3.0,3.0,1.0,3.0,5.0,24950.888617920675
